gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Tspear,0.05,0.04,0.04,0.0,0.06,0.09,0.0,0.12,0.04,0.03
Krtap10-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krtap12-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm11733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ank3,8.83,7.18,10.35,11.87,4.9,6.08,12.37,9.79,8.42,7.65
Cd300ld3,0.07,0.06,0.02,0.01,0.02,0.0,0.06,0.0,0.19,0.01
Cd300ld4,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01
Gm5250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10273,9.66,10.83,2.85,4.71,10.46,3.72,7.8,6.68,4.38,3.51
Strada,6.86,6.77,6.54,6.16,8.13,9.06,16.91,17.72,10.6,10.16
Pex11g,6.92,5.79,6.94,7.2,4.14,3.11,3.32,2.51,2.81,3.04
Marcks,14.02,14.15,12.05,11.26,18.05,18.38,47.14,46.16,29.27,30.96
Sult3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkain2,0.03,0.1,0.0,0.0,0.08,0.17,0.31,0.1,0.17,0.38
Pcgf1,16.25,16.18,14.63,13.18,16.72,18.32,21.39,18.24,17.47,19.45
Gm10275,249.55,250.95,219.43,209.22,394.44,349.65,569.24,661.79,446.09,390.46
Taar5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taar4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taar3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930444G20Rik,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
4933406P04Rik,0.36,0.5,0.42,0.39,0.36,0.59,0.88,1.05,0.51,0.53
Gm11568,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Gm11563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930572O03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krtap3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krtap3-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp975,1.6,1.69,1.27,1.45,1.83,2.27,5.86,5.88,2.89,3.15
Arid1b,2.73,2.51,2.78,2.7,1.7,2.17,6.25,6.61,4.63,4.91
Ube2u,0.29,0.28,0.19,0.33,0.05,0.1,0.09,0.18,0.11,0.09
Zfp820,0.88,0.9,0.88,1.18,1.69,1.78,4.54,2.8,1.95,1.92
Psmb3,204.51,214.57,187.79,169.62,324.23,288.83,429.35,408.97,310.08,304.64
Zfp125,2.64,2.89,2.32,3.21,4.37,3.97,8.03,5.83,6.32,6.32
Tmem100,0.38,0.42,0.47,0.38,0.29,0.53,1.12,0.93,0.46,0.36
Msi2,2.56,2.7,2.67,2.47,3.35,3.35,5.48,5.98,4.33,4.17
Gm11444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wfdc17,14.22,16.12,17.65,17.32,6.98,4.97,5.58,5.2,5.15,3.73
Slfn9,4.92,4.91,4.76,3.81,4.8,7.15,6.95,5.9,6.95,6.33
Gm11426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10277,0.74,0.34,0.44,0.69,0.68,0.49,1.14,1.43,1.34,1.04
Fbp1,80.89,37.4,89.84,126.26,0.44,0.36,0.07,0.0,0.02,0.05
Cacng7,0.0,0.03,0.0,0.0,0.02,0.04,0.32,0.21,0.06,0.03
Fam57a,3.64,3.19,3.5,4.68,3.91,4.65,11.86,10.81,7.04,6.41
Ccdc92b,15.36,11.91,7.08,8.79,6.6,7.18,4.24,3.83,12.3,13.35
Olfr23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr377-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm49340,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nlrp1a,0.24,0.18,0.27,0.15,0.1,0.09,0.07,0.2,0.08,0.1
Ahnak,2.14,2.57,2.65,2.63,1.38,1.2,2.04,2.68,1.71,1.48
Sat2,9.62,8.82,8.86,9.78,10.1,10.58,13.85,12.18,9.66,10.34
Sco1,5.12,5.8,4.24,4.62,7.09,9.11,14.51,14.84,11.23,10.68
Slc47a2,0.05,0.03,0.02,0.05,0.08,0.05,0.06,0.05,0.03,0.1
Rps12-ps9,2.05,1.92,3.2,2.07,2.25,4.27,2.13,3.55,4.95,1.82
Pabpn1l,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
4930438A08Rik,2.76,2.56,2.16,2.7,0.31,0.18,0.34,0.22,0.12,0.36
Irgm2,5.43,5.34,4.69,5.74,2.28,3.26,1.76,1.84,2.41,2.47
1700024J04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04
9930111J21Rik2,1.4,1.02,1.1,1.27,0.45,0.56,0.24,0.22,0.74,0.59
9930111J21Rik1,0.98,0.95,0.95,1.22,0.47,0.56,0.39,0.35,0.42,0.74
Atxn1l,3.04,1.84,2.74,2.35,2.58,2.53,4.28,5.45,3.27,3.81
Gm12166,2.94,2.98,3.55,2.43,2.85,2.59,5.07,3.98,3.41,4.45
Spdl1,10.98,11.19,10.56,9.61,14.45,17.85,21.15,19.5,16.63,16.7
Fam196b,0.09,0.08,0.07,0.09,0.05,0.04,0.19,0.2,0.06,0.08
Anp32-ps,0.0,0.43,0.44,0.24,0.58,0.22,0.0,0.29,0.35,0.64
Hba-a2,152522.2,153627.07,141438.68,139981.37,134983.53,120948.97,19570.75,18440.38,102197.62,103099.32
Hba-a1,66414.99,64672.72,62306.1,61795.6,55776.87,49037.08,9775.53,9292.86,44321.73,45373.02
B3gnt9,2.0,2.07,1.8,2.15,2.8,2.0,3.41,3.05,2.99,2.9
Ces3a,0.84,0.5,0.61,0.7,0.21,0.08,0.02,0.0,0.05,0.04
4932416K20Rik,0.04,0.03,0.03,0.01,0.01,0.04,0.08,0.07,0.0,0.0
Gm12070,5.16,4.99,5.51,5.98,4.02,3.04,8.38,4.92,3.44,4.78
Gm5356,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.06,0.0
4933402J07Rik,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
Rps13-ps2,141.98,226.84,194.67,173.17,357.44,350.25,408.75,440.43,342.88,291.08
Gm8054,0.03,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Gm7125,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.21,0.0,0.0
Olfr372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fcho1,21.67,19.94,18.09,20.75,14.44,14.61,16.24,15.14,16.38,17.22
Ell,12.34,10.26,11.03,14.23,8.45,9.04,15.6,15.12,10.98,10.98
Ssbp4,41.45,32.84,21.5,27.36,54.17,46.82,111.05,126.47,80.81,81.9
Gm10283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
