gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
IQCD,0.32,0.23,1.58,1.24,1.38,2.83,0.77,0.63,1.0,0.58,0.65,0.94
NDEL1,15.01,17.56,12.75,18.25,21.28,32.75,25.38,28.39,15.08,14.6,21.63,27.45
CENPV,89.39,91.41,84.05,92.87,63.14,18.03,4.9,4.33,214.97,209.32,41.63,49.76
CDH16,0.0,0.0,0.0,0.09,0.71,0.23,0.0,0.0,0.0,0.0,0.0,0.0
RRAD,0.2,0.33,0.15,0.12,0.54,1.05,0.33,0.1,0.09,0.23,0.05,0.03
CIAO2B,39.05,37.96,24.26,27.0,29.54,31.17,26.03,25.1,34.06,31.65,33.11,31.9
CFAP52,0.0,0.0,0.08,0.09,2.91,0.16,0.0,0.0,0.14,0.0,0.05,0.23
HSP90B1,340.57,337.34,334.84,358.31,400.51,349.78,254.0,262.76,250.72,242.64,713.33,686.33
MC4R,0.02,0.0,0.0,0.03,0.54,0.0,0.02,0.05,0.02,0.08,0.0,0.0
BLCAP,21.74,24.83,17.82,20.91,33.02,31.81,27.73,27.54,19.01,18.94,22.4,25.68
SERPINB12,0.0,0.0,0.0,0.0,6.42,9.38,0.0,0.0,0.0,0.0,0.0,0.0
CHRFAM7A,1.96,1.12,0.4,0.49,1.59,0.23,0.62,1.3,5.58,3.72,0.69,0.49
ATF7IP2,8.23,9.83,33.71,37.41,11.41,6.53,2.67,4.43,9.26,8.3,9.91,10.36
MMP10,0.09,0.02,0.02,0.1,0.81,0.3,0.02,0.08,0.0,0.0,0.07,0.08
TVP23A,1.38,1.42,3.56,4.23,1.05,0.26,0.0,0.0,3.4,2.95,3.21,3.46
BEX3,146.13,139.36,177.45,184.0,104.14,81.62,83.5,82.58,136.1,143.09,284.46,270.56
TMPRSS5,0.37,0.17,1.07,0.79,1.08,0.34,0.59,0.23,3.79,2.78,1.22,0.47
COG1,10.57,12.12,21.07,24.54,15.13,15.63,16.98,17.49,15.76,15.34,13.87,12.3
PLEKHA7,8.0,9.62,32.21,35.44,26.78,74.47,5.8,5.69,6.84,7.79,6.0,7.97
OR5M13P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF606,6.42,6.15,20.44,21.88,16.19,11.83,8.18,6.68,16.75,17.78,10.37,11.72
ZCCHC18,0.8,0.67,2.11,2.66,3.74,1.11,2.39,2.0,4.11,3.72,1.12,1.03
B2M,33.86,37.05,55.61,62.43,165.77,218.03,571.42,663.42,45.61,40.81,32.38,33.8
ZNF592,14.92,15.83,16.93,18.0,11.09,11.11,11.22,11.88,15.71,14.88,14.79,15.14
CASC4,15.74,17.16,30.04,30.29,26.97,28.61,44.68,48.74,28.51,27.25,19.67,21.89
HTR3A,1.58,1.89,0.03,0.0,0.11,0.04,0.0,0.0,2.01,1.65,0.57,0.25
NNMT,0.0,0.0,1.01,1.28,1.16,0.27,29.58,25.02,0.65,0.35,0.0,0.0
ACSM1,0.37,0.38,0.12,0.28,0.05,0.15,0.0,0.0,0.0,0.0,0.19,0.5
AP1G1,37.9,36.24,45.34,45.54,37.48,48.14,27.05,27.95,42.19,42.29,29.65,28.5
SLFN5,1.6,1.32,5.49,5.71,8.99,17.68,29.4,31.54,4.67,3.71,4.92,5.63
CATSPER2,0.75,2.1,4.48,3.46,2.1,3.84,1.24,1.17,1.19,1.19,1.31,0.66
STRCP1,0.03,0.09,0.06,0.14,0.03,0.02,0.0,0.0,0.0,0.02,0.01,0.04
ZNF667-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.03
