,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000237402.1|CAMTA1-IT1,0,0,0,0,0,1,0,0
ENSG00000237728.2|Z97987.1,0,1,0,0,1,0,0,0
ENSG00000225126.1|AL365194.1,0,0,1,0,1,0,0,0
ENSG00000270171.1|AL359881.3,0,1,0,2,1,0,1,0
ENSG00000270035.1|AL359881.2,0,0,2,0,1,0,1,0
ENSG00000269978.1|AL359881.1,0,0,0,0,0,0,0,0
ENSG00000049245.12|VAMP3,2581,2564,1917,2676,2210,2641,1993,2392
ENSG00000269925.1|Z98884.2,0,2,0,3,2,0,1,1
ENSG00000049246.14|PER3,22,28,109,170,26,41,26,60
ENSG00000236266.1|Z98884.1,0,1,0,0,1,2,4,3
ENSG00000049247.13|UTS2,0,0,0,0,0,0,0,0
ENSG00000049249.8|TNFRSF9,8,8,19,25,14,12,7,18
ENSG00000270330.1|AL009183.1,0,0,0,0,0,0,0,0
ENSG00000116288.12|PARK7,4673,4803,4576,5966,4594,4668,4669,4053
ENSG00000200344.1|RF00019,0,0,2,0,0,0,1,0
ENSG00000284747.1|AL034417.4,14,8,8,16,14,9,22,10
ENSG00000284716.1|AL034417.3,0,0,2,1,5,4,3,0
ENSG00000116285.12|ERRFI1,2211,2428,3124,4490,818,780,1948,2875
ENSG00000238290.1|AL034417.2,2,1,4,5,5,3,14,7
ENSG00000232848.1|AL034417.1,0,0,0,2,1,1,1,0
ENSG00000229305.1|AL358876.1,0,0,0,0,0,0,0,0
ENSG00000227634.2|LINC01714,0,0,11,9,0,0,1,0
ENSG00000200975.1|RNU1-7P,0,0,0,0,0,0,0,0
ENSG00000233645.1|AL358876.2,0,0,0,3,1,1,0,0
ENSG00000251977.1|RNU6-991P,0,0,0,0,0,0,0,0
ENSG00000162426.14|SLC45A1,32,20,15,22,45,70,39,51
ENSG00000252254.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000142599.17|RERE,239,224,199,340,499,536,191,513
ENSG00000232912.5|AL096855.1,1,2,0,2,0,1,0,1
ENSG00000221083.1|RF00599,0,0,0,0,0,0,0,0
ENSG00000270282.1|AL096855.2,0,0,0,0,1,0,0,0
ENSG00000234619.1|RPL7P11,0,0,0,1,0,1,0,1
ENSG00000224315.2|RPL7P7,0,0,1,0,0,0,2,0
ENSG00000222511.2|RF00019,0,0,0,1,0,0,0,0
ENSG00000226545.1|AL357552.1,0,0,2,1,0,0,0,0
ENSG00000228423.2|AL357552.2,0,1,0,2,0,1,1,4
ENSG00000229716.2|RPL23AP19,1,0,0,0,1,0,0,0
ENSG00000074800.15|ENO1,30454,33111,10223,13407,35931,47713,11272,12079
ENSG00000274258.1|MIR6728,0,0,0,0,0,0,0,0
ENSG00000230679.1|ENO1-AS1,3,2,1,1,8,9,3,4
ENSG00000201725.1|RNU6-304P,0,0,0,0,0,0,0,0
ENSG00000238249.2|HMGN2P17,8,8,5,5,5,4,2,5
ENSG00000232208.2|AL139415.1,0,0,0,0,0,0,0,0
ENSG00000232663.2|AL139415.2,0,0,0,0,0,0,0,0
ENSG00000131686.14|CA6,1,1,0,0,0,1,0,0
ENSG00000265141.2|RN7SL451P,0,0,0,0,6,0,7,4
ENSG00000197241.3|SLC2A7,0,0,0,0,0,0,0,0
ENSG00000142583.17|SLC2A5,86,83,811,969,20,66,56,361
ENSG00000252404.1|RF00424,0,0,0,0,0,0,0,0
ENSG00000180758.11|GPR157,106,100,68,91,72,56,32,47
ENSG00000228526.7|MIR34AHG,93,104,25,50,145,77,152,51
ENSG00000284357.1|MIR34A,0,0,0,0,0,0,0,0
ENSG00000234546.3|LNCTAM34A,21,25,11,14,19,32,18,16
ENSG00000049239.12|H6PD,1024,1123,113,186,763,721,290,390
ENSG00000171621.13|SPSB1,164,189,83,115,288,193,202,250
ENSG00000284652.1|BX323043.1,0,0,0,0,1,0,0,0
ENSG00000284693.1|AL928921.2,14,23,15,17,16,20,13,22
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0,0,0
ENSG00000235263.1|AL928921.1,0,0,0,0,0,0,0,0
ENSG00000171612.6|SLC25A33,27,38,47,55,60,43,54,96
ENSG00000231181.1|AL954705.1,0,0,0,1,1,0,0,0
ENSG00000188807.12|TMEM201,191,195,156,232,298,380,190,375
ENSG00000171608.15|PIK3CD,538,577,187,248,933,936,233,571
