gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
HNRNPUL1,5904.0,5771.0,5000.0,10139.0,8913.0,12032.0,12456.0,11441.0,10655.0
FZR1,1418.0,1461.0,1245.0,1594.0,1333.0,1735.0,2028.0,1776.0,1630.0
BBC3,411.0,375.0,216.0,866.0,730.0,1078.0,1134.0,1127.0,949.0
TGFB1,6055.0,6043.0,3977.0,3029.0,2445.0,2886.0,2952.0,2714.0,2572.0
DENND3,993.0,1123.0,439.0,2437.0,2005.0,1161.0,1292.0,1236.0,1222.0
DMAC2,294.0,289.0,215.0,1111.0,882.0,1104.0,1180.0,1023.0,967.0
CEACAM4,7.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
PLIN3,297.0,332.0,355.0,1070.0,926.0,1058.0,1017.0,988.0,918.0
MYH14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MRPL4,367.0,336.0,378.0,1325.0,1002.0,1549.0,1531.0,1393.0,1265.0
SIGLEC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD79A,124.0,154.0,183.0,182.0,141.0,363.0,416.0,334.0,335.0
LIM2,0.0,0.0,2.0,23.0,12.0,12.0,11.0,12.0,6.0
ICAM4,7.0,5.0,5.0,24.0,16.0,17.0,30.0,13.0,12.0
RPS19,13829.0,12656.0,11060.0,23073.0,19933.0,23411.0,22815.0,21675.0,19540.0
NOP53,7800.0,7398.0,7033.0,5424.0,4617.28,4573.0,4894.99,4598.0,4263.0
NKG7,2060.0,1926.0,590.0,2129.0,1783.0,1517.0,1569.0,1434.0,1402.0
ICAM5,11.0,5.0,5.0,96.0,44.0,114.0,83.0,99.0,82.0
ETFB,435.27,398.08,301.98,1881.48,1603.04,1824.51,1854.86,1743.5,1670.9
CD33,4.0,4.0,5.0,61.0,56.0,40.0,32.0,36.0,29.0
CEACAM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRX,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
BABAM1,685.0,639.0,644.0,1232.0,1110.0,1343.0,1253.34,1214.0,1191.0
TYK2,3060.0,3067.0,2889.0,4004.0,3462.0,4308.0,4516.0,4226.0,3976.0
SULT2A1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC37,1828.0,1954.0,1550.0,2317.0,2040.0,2061.0,2148.0,2065.0,1917.0
NAPA,1513.69,1614.22,1235.55,1532.6,1207.8,1356.07,1323.49,1166.83,1112.45
RABAC1,623.67,656.0,394.11,729.0,702.0,585.0,560.0,539.0,522.0
ATP1A3,193.78,228.0,97.17,182.0,149.0,213.0,259.0,189.0,174.0
MEIS3,5.0,1.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0
PTPRS,82.0,93.0,114.0,101.0,80.0,101.0,107.0,83.0,81.0
CNFN,0.0,1.0,1.0,3.0,0.0,3.0,12.0,10.0,5.0
ZNRF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF8,577.0,591.0,486.0,1367.0,1156.0,1486.0,1507.0,1491.0,1277.0
KDELR1,572.0,551.0,485.0,1918.0,1609.0,1887.0,1912.0,1838.0,1645.0
CYTH2,1118.0,1196.0,932.0,1943.0,1589.0,1947.0,2148.0,1935.0,1885.0
